geoid,state,district,owner,owner_moe,state_owner,state_owner_moe,country_owner,country_owner_moe,ratio_state_owner,ratio_state_owner_moe,ratio_country_owner,ratio_country_owner_moe,renter,renter_moe,state_renter,state_renter_moe,country_renter,country_renter_moe,ratio_state_renter,ratio_state_renter_moe,ratio_country_renter,ratio_country_renter_moe
50000US0646,California,46,39.23,1.45,53.64,0.2,63.12,0.17,0.7313571961222968,0.0595187781939835,0.6215145754119138,0.04929241959079648,60.77,1.52,46.36,0.17,36.88,0.07,1.310828300258844,0.07518827638315599,1.6477765726681128,0.08868493772100378
50000US1198,District of Columbia,0,39.25,1.16,39.25,1.16,63.12,0.17,1.0,0.11831990670060859,0.6218314321926489,0.040105213077314336,60.75,1.34,60.75,1.34,36.88,0.07,1.0,0.08827340106527197,1.6472342733188718,0.07892145564080479
50000US3201,Nevada,1,39.56,1.13,54.85,0.64,63.12,0.17,0.7212397447584321,0.058042302867023374,0.6267427122940431,0.039181090962576166,60.44,1.34,45.15,0.72,36.88,0.07,1.3386489479512735,0.10207810671234666,1.6388286334056397,0.07888954691446659
50000US1707,Illinois,7,39.91,1.55,65.26,0.34,63.12,0.17,0.6115537848605577,0.05387606510076191,0.6322877059569074,0.05251904097419107,60.09,1.42,34.74,0.35,36.88,0.07,1.729706390328152,0.1166150167089968,1.6293383947939262,0.08319193135653626
50000US0629,California,29,40.87,1.25,53.64,0.2,63.12,0.17,0.76193139448173,0.052289551654491895,0.6474968314321926,0.043095194140817805,59.13,1.45,46.36,0.17,36.88,0.07,1.2754529767040552,0.07190894820620328,1.6033080260303687,0.08472002114504536
50000US0643,California,43,41.0,1.22,53.64,0.2,63.12,0.17,0.7643549589858315,0.05118904093744161,0.6495564005069708,0.042155710987071,59.0,1.6,46.36,0.17,36.88,0.07,1.272648835202761,0.07835956539968184,1.5997830802603035,0.09284115961016948
50000US0651,California,51,43.43,1.44,53.64,0.2,63.12,0.17,0.8096569724086502,0.05972981599950172,0.6880544993662865,0.049333984755172776,56.57,1.55,46.36,0.17,36.88,0.07,1.2202329594477999,0.0758180860625435,1.5338937093275486,0.08987952985359114
50000US0613,California,13,43.5,1.18,53.64,0.2,63.12,0.17,0.8109619686800895,0.05004515486115436,0.6891634980988594,0.04110162243444607,56.5,1.16,46.36,0.17,36.88,0.07,1.2187230371009492,0.058981937034200335,1.531995661605206,0.06872257384315242
50000US1305,Georgia,5,43.68,1.2,61.54,0.49,63.12,0.17,0.709782255443614,0.05030521412917028,0.6920152091254753,0.04175070163177155,56.32,1.77,38.46,0.42,36.88,0.07,1.4643785751430056,0.12404178188002232,1.527114967462039,0.10178442567417294
50000US3903,Ohio,3,44.36,1.2,65.36,0.33,63.12,0.17,0.6787025703794369,0.04357430076594742,0.7027883396704689,0.04180873222358194,55.64,1.61,34.64,0.3,36.88,0.07,1.6062355658198615,0.12078681183718223,1.5086767895878523,0.09303761149214101
50000US4709,Tennessee,9,44.4,1.3,65.09,0.51,63.12,0.17,0.6821324320172069,0.05063723194525224,0.7034220532319392,0.044980736579390286,55.6,1.56,34.91,0.54,36.88,0.07,1.592666857633916,0.13867770175469554,1.5075921908893708,0.0903219877224926
50000US0407,Arizona,7,44.56,1.16,63.24,0.4,63.12,0.17,0.704617330803289,0.04560103158240916,0.7059569074778201,0.040558363728068945,55.44,1.73,36.76,0.5,36.88,0.07,1.5081610446137106,0.1351762883853981,1.5032537960954446,0.09952464085221295
50000US5504,Wisconsin,4,44.73,1.26,66.66,0.39,63.12,0.17,0.671017101710171,0.04565702844677509,0.7086501901140684,0.04374146216760576,55.27,1.58,33.34,0.44,36.88,0.07,1.6577684463107378,0.1385615128104074,1.498644251626898,0.09137262297450353
50000US3606,New York,6,45.01,1.14,53.28,0.24,63.12,0.17,0.8447822822822822,0.05040446671942318,0.7130861850443599,0.03996304816727368,54.99,1.58,46.72,0.25,36.88,0.07,1.17701198630137,0.08023573050189907,1.491052060737527,0.09134380218942387
50000US1704,Illinois,4,45.63,1.19,65.26,0.34,63.12,0.17,0.699203187250996,0.04375629292337285,0.7229087452471483,0.04160025380853996,54.37,1.84,34.74,0.35,36.88,0.07,1.565054691997697,0.1374790749098546,1.4742407809110627,0.10537981861286
50000US1224,Florida,24,45.77,1.53,64.13,0.29,63.12,0.17,0.7137065336036178,0.05417153952873492,0.7251267427122942,0.052385409974710764,54.23,1.84,35.87,0.25,36.88,0.07,1.5118483412322274,0.12367269747171294,1.4704446854663773,0.10536540822032017
50000US0647,California,47,45.88,1.09,53.64,0.2,63.12,0.17,0.8553318419090231,0.04702027964872632,0.7268694550063372,0.038452997793356626,54.12,1.81,46.36,0.17,36.88,0.07,1.1673856773080242,0.08664722054835969,1.467462039045553,0.10372718186025667
50000US0606,California,6,46.06,1.31,53.64,0.2,63.12,0.17,0.8586875466070097,0.05524825163936614,0.7297211660329531,0.045439258573850526,53.94,1.29,46.36,0.17,36.88,0.07,1.1635030198446936,0.06418531144800531,1.462581344902386,0.0755089864604804
50000US0616,California,16,46.14,1.62,53.64,0.2,63.12,0.17,0.860178970917226,0.06681807262147325,0.7309885931558936,0.05526871715620985,53.86,1.94,46.36,0.17,36.88,0.07,1.1617773943054357,0.09221444777634981,1.4604121475054228,0.11075033664073898
50000US3409,New Jersey,9,46.14,1.27,63.23,0.39,63.12,0.17,0.7297169065317097,0.04917440259849669,0.7309885931558936,0.04417864938566511,53.86,1.37,36.77,0.41,36.88,0.07,1.4647810715257001,0.10719637052462644,1.4604121475054228,0.07983916237387689
50000US4833,Texas,33,46.55,1.2,61.09,0.26,63.12,0.17,0.7619905058110983,0.045773215158254305,0.7374841571609633,0.04199562486485361,53.45,1.61,38.91,0.23,36.88,0.07,1.3736828578771525,0.09899842476745374,1.449295010845987,0.09281219178026798
50000US0409,Arizona,9,46.64,1.11,63.24,0.4,63.12,0.17,0.7375079063883618,0.04443578035424438,0.7389100126742713,0.03915157367193214,53.36,1.44,36.76,0.5,36.88,0.07,1.4515778019586507,0.11785580315601019,1.4468546637744033,0.08358380580672647
50000US4809,Texas,9,46.79,1.22,61.09,0.26,63.12,0.17,0.7659191357014241,0.046461439894017034,0.7412864385297846,0.042649824408515294,53.21,1.95,38.91,0.23,36.88,0.07,1.3675147776921102,0.11640234007373632,1.4427874186550975,0.11122573254973145
50000US0644,California,44,47.28,1.46,53.64,0.2,63.12,0.17,0.8814317673378076,0.06101077933286472,0.7490494296577948,0.0502962584700631,52.72,1.6,46.36,0.17,36.88,0.07,1.1371872303710095,0.07736608902008062,1.4295010845986984,0.0921947505733829
50000US4824,Texas,24,47.31,1.06,61.09,0.26,63.12,0.17,0.7744311671304632,0.041295627814150915,0.7495247148288974,0.03762445547689438,52.69,1.43,38.91,0.23,36.88,0.07,1.3541506039578515,0.08951505982554603,1.4286876355748372,0.08297254048235846
50000US4818,Texas,18,47.66,1.48,61.09,0.26,63.12,0.17,0.7801604190538549,0.0550948499572807,0.7550697084917617,0.05096240548850928,52.34,1.77,38.91,0.23,36.88,0.07,1.3451554870213316,0.10688555230104962,1.4191973969631237,0.10137475880054067
50000US1227,Florida,27,48.1,1.0,64.13,0.29,63.12,0.17,0.7500389833151412,0.03797087798664622,0.7620405576679341,0.03579071889537062,51.9,1.63,35.87,0.25,36.88,0.07,1.4468915528296626,0.11105768842146367,1.4072668112798263,0.09373725075443183
50000US0653,California,53,48.28,1.24,53.64,0.2,63.12,0.17,0.9000745712155108,0.05294685517523645,0.7648922686945501,0.043410697834181354,51.72,1.43,46.36,0.17,36.88,0.07,1.1156169111302847,0.06987388498538097,1.4023861171366594,0.08287269704833251
50000US3911,Ohio,11,48.78,1.14,65.36,0.33,63.12,0.17,0.746328029375765,0.042421162479970194,0.7728136882129278,0.040284776595398884,51.22,1.44,34.64,0.3,36.88,0.07,1.4786374133949192,0.1087605376585337,1.38882863340564,0.08336353266361768
50000US0633,California,33,48.95,0.98,53.64,0.2,63.12,0.17,0.912565249813572,0.043345608189267824,0.7755069708491763,0.03522953897681676,51.05,1.45,46.36,0.17,36.88,0.07,1.101164797238999,0.07063071745028324,1.3842190889370931,0.08388833563274672
50000US4202,Pennsylvania,2,49.27,1.34,68.5,0.31,63.12,0.17,0.7192700729927007,0.04563520390923239,0.780576679340938,0.046663774340313026,50.73,1.03,31.5,0.29,36.88,0.07,1.6104761904761904,0.09505809461905515,1.3755422993492405,0.061078742869704675
50000US4835,Texas,35,49.29,1.38,61.09,0.26,63.12,0.17,0.8068423637256507,0.052048054078322394,0.780893536121673,0.04793291743905878,50.71,1.75,38.91,0.23,36.88,0.07,1.3032639424312518,0.10536223743261933,1.375,0.10012237805297215
50000US0621,California,21,49.78,1.79,53.64,0.2,63.12,0.17,0.9280387770320656,0.07366275991849881,0.7886565272496832,0.060965955846299755,50.22,1.67,46.36,0.17,36.88,0.07,1.0832614322691976,0.07999048213150003,1.3617136659436007,0.09573353125566351
50000US2901,Missouri,1,50.0,1.42,66.08,0.49,63.12,0.17,0.7566585956416465,0.054202820343500206,0.7921419518377694,0.04926094452067095,50.0,1.55,33.92,0.43,36.88,0.07,1.474056603773585,0.12878510302886476,1.3557483731019522,0.08920327071797207
50000US4807,Texas,7,50.18,1.08,61.09,0.26,63.12,0.17,0.8214110329022752,0.04235031266073326,0.7949936628643853,0.03850309686829327,49.82,1.69,38.91,0.23,36.88,0.07,1.2803906450783862,0.10200766849202,1.3508676789587852,0.09677696131140452
50000US1214,Florida,14,50.2,1.21,64.13,0.29,63.12,0.17,0.7827849680336817,0.04481637382808154,0.7953105196451205,0.042623971679464814,49.8,1.48,35.87,0.25,36.88,0.07,1.3883468079174799,0.10187763913786663,1.3503253796095442,0.08538657532242333
50000US5307,Washington,7,50.27,1.13,62.47,0.41,63.12,0.17,0.8047062590043221,0.04674219482254306,0.7964195183776933,0.040095072783589696,49.73,1.65,37.53,0.43,36.88,0.07,1.3250732747135623,0.11830924309600971,1.3484273318872015,0.09459849227591931
50000US3616,New York,16,50.63,1.63,53.28,0.24,63.12,0.17,0.9502627627627628,0.06974852721357601,0.8021229404309252,0.05596874881952799,49.37,1.47,46.72,0.25,36.88,0.07,1.0567208904109588,0.07423929279383354,1.3386659436008674,0.0848000135281236
50000US5108,Virginia,8,50.73,1.14,65.29,0.44,63.12,0.17,0.7769949456272016,0.04539577517474408,0.8037072243346007,0.04045118785132572,49.27,1.38,34.71,0.39,36.88,0.07,1.4194756554307117,0.11142838642838641,1.3359544468546638,0.0799090086642485
50000US4830,Texas,30,51.09,1.22,61.09,0.26,63.12,0.17,0.8363070879030938,0.047060595208284844,0.8094106463878328,0.04301678256261036,48.91,1.49,38.91,0.23,36.88,0.07,1.2570033410434336,0.09145067767761791,1.3261930585683295,0.08583726770134753
50000US1205,Florida,5,51.2,1.25,64.13,0.29,63.12,0.17,0.7983782940901295,0.04620489636074042,0.8111533586818759,0.043976747101702,48.8,1.56,35.87,0.25,36.88,0.07,1.3604683579592975,0.10594978495165223,1.3232104121475052,0.08962205437055809
50000US3712,North Carolina,12,51.22,1.11,64.22,0.28,63.12,0.17,0.7975708502024291,0.04152429724572213,0.8114702154626109,0.03954242677559618,48.78,1.38,35.78,0.37,36.88,0.07,1.3633314700950252,0.10534567795627041,1.3226681127982647,0.0798585722903591
50000US1807,Indiana,7,51.39,1.28,68.35,0.41,63.12,0.17,0.7518653986832481,0.0464761365082252,0.8141634980988594,0.04494353876924193,48.61,1.46,31.65,0.42,36.88,0.07,1.5358609794628753,0.13304469958996396,1.318058568329718,0.08417948437997998
50000US0631,California,31,51.73,1.33,53.64,0.2,63.12,0.17,0.9643922445935869,0.05678223790161134,0.8195500633713562,0.04655684946093923,48.27,1.59,46.36,0.17,36.88,0.07,1.0411993097497845,0.07623070073724861,1.3088394793926248,0.09119440465043954
50000US4829,Texas,29,51.79,1.51,61.09,0.26,63.12,0.17,0.8477655917498772,0.05665249299924797,0.8205006337135615,0.05226543323212701,48.21,2.07,38.91,0.23,36.88,0.07,1.2390131071703934,0.12105141620328268,1.3072125813449023,0.1172186913084379
50000US0620,California,20,51.8,1.76,53.64,0.2,63.12,0.17,0.9656972408650261,0.07282500378144158,0.820659062103929,0.06018776360214357,48.2,1.8,46.36,0.17,36.88,0.07,1.0396893874029336,0.08527928285820065,1.3069414316702819,0.10257552681564511
50000US0630,California,30,51.98,1.12,53.64,0.2,63.12,0.17,0.9690529455630126,0.048986907314642635,0.823510773130545,0.03992414357501327,48.02,1.64,46.36,0.17,36.88,0.07,1.0358067299396032,0.07834821244742338,1.302060737527115,0.09388017832125543
50000US4401,Rhode Island,1,52.1,1.52,58.03,0.85,63.12,0.17,0.8978114768223333,0.0787051426083915,0.8254119138149557,0.05260874743402252,47.9,2.02,41.97,1.35,36.88,0.07,1.1412913986180606,0.16985614935262436,1.29880694143167,0.11447527606746268
50000US0627,California,27,52.36,1.52,53.64,0.2,63.12,0.17,0.9761372110365398,0.0639541867231362,0.829531051964512,0.05263093560147943,47.64,1.56,46.36,0.17,36.88,0.07,1.0276100086281277,0.07483680014807227,1.29175704989154,0.0895026539752281
50000US2202,Louisiana,2,52.37,1.28,64.26,0.63,63.12,0.17,0.8149704326174914,0.05582333545421115,0.8296894803548795,0.04502717109273337,47.63,1.48,35.74,0.64,36.88,0.07,1.3326804700615558,0.13059114851308362,1.2914859002169197,0.08516321423805599
50000US2613,Michigan,13,52.44,1.14,70.32,0.28,63.12,0.17,0.7457337883959044,0.03836253828245455,0.8307984790874525,0.04059711772190771,47.56,1.36,29.68,0.36,36.88,0.07,1.6024258760107817,0.13053627450802296,1.289587852494577,0.07864839340665723
50000US2705,Minnesota,5,52.62,0.76,71.3,0.36,63.12,0.17,0.7380084151472651,0.02877164595113299,0.8336501901140684,0.028571833752896354,47.38,1.26,28.7,0.38,36.88,0.07,1.650871080139373,0.13154438564179083,1.28470715835141,0.07320685272983196
50000US0652,California,52,52.66,1.28,53.64,0.2,63.12,0.17,0.9817300521998508,0.05504722353213335,0.8342839036755386,0.04505191943335839,47.34,1.61,46.36,0.17,36.88,0.07,1.0211389128559103,0.07694640201446039,1.2836225596529285,0.09218328107727977
50000US0801,Colorado,1,52.9,1.27,64.76,0.55,63.12,0.17,0.816862260654725,0.053100625767382906,0.8380861850443599,0.044755541739544796,47.1,1.48,35.24,0.52,36.88,0.07,1.3365493757094211,0.12346647903586636,1.277114967462039,0.08510866060915523
50000US0617,California,17,53.37,1.15,53.64,0.2,63.12,0.17,0.9949664429530201,0.05029873388438575,0.845532319391635,0.0409933421692774,46.63,1.4,46.36,0.17,36.88,0.07,1.0058239861949958,0.06777442633043687,1.2643709327548807,0.08072187243935226
50000US1210,Florida,10,53.4,1.47,64.13,0.29,63.12,0.17,0.8326836114143147,0.05337636819462504,0.8460076045627376,0.051135392875514975,46.6,1.67,35.87,0.25,36.88,0.07,1.2991357680512965,0.11122837158315008,1.2635574837310195,0.09536091967713367
50000US1501,Hawaii,1,53.55,1.1,57.17,0.89,63.12,0.17,0.9366800769634422,0.06766185067967578,0.848384030418251,0.03942440781249392,46.45,0.97,42.83,0.84,36.88,0.07,1.0845201961242121,0.08786928615987112,1.2594902386117137,0.057384388765922646
50000US5103,Virginia,3,53.61,1.26,65.29,0.44,63.12,0.17,0.8211058355031398,0.04966641763969585,0.8493346007604563,0.04449927342536487,46.39,1.49,34.71,0.39,36.88,0.07,1.3365024488619994,0.1159026159026159,1.2578633405639912,0.08557788063563064
50000US2614,Michigan,14,53.67,1.25,70.32,0.28,63.12,0.17,0.7632252559726963,0.04163044023407103,0.8502851711026617,0.044187534692542656,46.33,1.42,29.68,0.36,36.88,0.07,1.5609838274932615,0.13357451547095914,1.2562364425162689,0.08177559563262173
50000US1220,Florida,20,53.68,1.39,64.13,0.29,63.12,0.17,0.8370497427101201,0.05092087366818163,0.8504435994930292,0.04862441519181658,46.32,1.54,35.87,0.25,36.88,0.07,1.2913298020630053,0.10387080808061969,1.2559652928416485,0.08828218195399777
50000US4214,Pennsylvania,14,53.98,1.16,68.5,0.31,63.12,0.17,0.788029197080292,0.04100197992226981,0.8551964512040557,0.04136225810285395,46.02,1.36,31.5,0.29,36.88,0.07,1.460952380952381,0.11325888140279766,1.247830802603037,0.07848987908871913
50000US5309,Washington,9,54.1,1.24,62.47,0.41,63.12,0.17,0.8660156875300145,0.0510688375937593,0.8570975918884665,0.043907371428793744,45.9,1.54,37.53,0.43,36.88,0.07,1.223021582733813,0.11010767469800813,1.244577006507592,0.08823895077637828
50000US4201,Pennsylvania,1,54.18,1.3,68.5,0.31,63.12,0.17,0.790948905109489,0.045116081976765504,0.8583650190114068,0.04581535303219255,45.82,1.54,31.5,0.29,36.88,0.07,1.4546031746031747,0.12457150563227379,1.242407809110629,0.08823071626635552
50000US4820,Texas,20,54.65,1.34,61.09,0.26,63.12,0.17,0.8945817646095924,0.05148534112663975,0.8658111533586819,0.04712289872845988,45.35,1.88,38.91,0.23,36.88,0.07,1.1655101516319712,0.11041595439487766,1.2296637744034706,0.10662058281950357
50000US1705,Illinois,5,54.74,0.95,65.26,0.34,63.12,0.17,0.8387986515476555,0.03785550320845167,0.86723700887199,0.034773075160785774,45.26,1.65,34.74,0.35,36.88,0.07,1.3028209556706964,0.1212551018437945,1.2272234273318872,0.09413838902839765
50000US1302,Georgia,2,54.85,1.01,61.54,0.49,63.12,0.17,0.8912902177445564,0.04702060230030568,0.8689797211660331,0.03668361693735269,45.15,1.27,38.46,0.42,36.88,0.07,1.173946957878315,0.0916936038737651,1.2242407809110627,0.07351961706587497
50000US3605,New York,5,55.07,1.26,53.28,0.24,63.12,0.17,1.0335960960960962,0.05661012248983761,0.8724651457541192,0.04462386851954599,44.93,1.54,46.72,0.25,36.88,0.07,0.9616866438356164,0.07621886310410902,1.2182754880694142,0.08813910734235232
50000US4832,Texas,32,55.12,0.95,61.09,0.26,63.12,0.17,0.9022753314781469,0.03878255177193618,0.8732572877059569,0.034805504020915104,44.88,1.26,38.91,0.23,36.88,0.07,1.15343099460293,0.07840361991715365,1.2169197396963123,0.07294952429162074
50000US2407,Maryland,7,55.4,1.12,65.89,0.37,63.12,0.17,0.8407952648353316,0.04344026031318516,0.8776932826362485,0.04021600331617725,44.6,1.41,34.11,0.53,36.88,0.07,1.307534447376136,0.12333632963644091,1.2093275488069415,0.08105522305045217
50000US4705,Tennessee,5,55.45,1.1,65.09,0.51,63.12,0.17,0.8518973728683361,0.04715200092152671,0.8784854245880863,0.039586552113140584,44.55,1.18,34.91,0.54,36.88,0.07,1.2761386422228589,0.10710754491588058,1.2079718004338393,0.06857714651435762
50000US0624,California,24,55.61,1.17,53.64,0.2,63.12,0.17,1.0367263236390754,0.0513558692421991,0.881020278833967,0.04181821992414608,44.39,1.3,46.36,0.17,36.88,0.07,0.9575064710957722,0.06310594347057982,1.2036334056399132,0.07506829312944098
50000US4817,Texas,17,55.85,1.15,61.09,0.26,63.12,0.17,0.9142249140612211,0.04543210392611525,0.8848225602027884,0.04120498315117409,44.15,1.37,38.91,0.23,36.88,0.07,1.1346697507067594,0.08383608492622406,1.1971258134490237,0.07883969871986453
50000US0603,California,3,55.86,1.61,53.64,0.2,63.12,0.17,1.041387024608501,0.06779652062887598,0.8849809885931559,0.055781354183517484,44.14,1.51,46.36,0.17,36.88,0.07,0.9521138912855911,0.07212605015389996,1.1968546637744033,0.08643088764709538
50000US0641,California,41,55.86,1.82,53.64,0.2,63.12,0.17,1.041387024608501,0.07562660711266916,0.8849809885931559,0.06243539484584432,44.14,2.14,46.36,0.17,36.88,0.07,0.9521138912855911,0.0993050178606599,1.1968546637744033,0.12059586973152188
50000US3704,North Carolina,4,55.93,1.36,64.22,0.28,63.12,0.17,0.8709124883213952,0.049949734853169045,0.8860899873257289,0.04786585094194921,44.07,1.89,35.78,0.37,36.88,0.07,1.2316936836221353,0.13113345621709413,1.1949566160520606,0.10703113196206683
50000US0107,Alabama,7,55.95,1.45,68.45,0.48,63.12,0.17,0.8173849525200877,0.05383302781983185,0.886406844106464,0.050719289436487056,44.05,1.44,31.55,0.58,36.88,0.07,1.3961965134706813,0.14266589928045986,1.1944143167028198,0.08262551470282792
50000US4103,Oregon,3,55.99,1.38,61.69,0.6,63.12,0.17,0.9076025287728968,0.06240050544292729,0.8870405576679342,0.04850468944660225,44.01,1.48,38.31,0.64,36.88,0.07,1.148786217697729,0.11567953987281618,1.1933297180043383,0.08479060265952615
50000US2905,Missouri,5,56.18,1.22,66.08,0.49,63.12,0.17,0.850181598062954,0.0495362886644546,0.8900506970849177,0.04345115861013219,43.82,1.19,33.92,0.43,36.88,0.07,1.2918632075471697,0.10293524365612625,1.188177874186551,0.06904430791332736
50000US3701,North Carolina,1,56.21,1.33,64.22,0.28,63.12,0.17,0.8752725007785737,0.04905344884860565,0.8905259822560203,0.04693916865404293,43.79,1.26,35.78,0.37,36.88,0.07,1.2238680827277808,0.09575262006848836,1.1873644251626898,0.07283732909256066
50000US1225,Florida,25,56.5,1.47,64.13,0.29,63.12,0.17,0.881022922189303,0.05381356410274367,0.8951204055766794,0.051399944102885835,43.5,1.66,35.87,0.25,36.88,0.07,1.2127125731809312,0.1094660446213663,1.1795010845986984,0.09449953111082436
50000US3909,Ohio,9,56.7,1.33,65.36,0.33,63.12,0.17,0.8675030599755202,0.0494589110446513,0.8982889733840305,0.04698098481578864,43.3,1.27,34.64,0.3,36.88,0.07,1.25,0.09498402953194743,1.1740780911062905,0.07332919402159867
50000US1304,Georgia,4,56.81,1.35,61.54,0.49,63.12,0.17,0.9231394215144622,0.058578244681743,0.9000316856780736,0.04762409027572188,43.19,1.7,38.46,0.42,36.88,0.07,1.1229849193967758,0.11294397710012852,1.1710954446854662,0.0966368275961958
50000US0635,California,35,56.9,1.49,53.64,0.2,63.12,0.17,1.0607755406413124,0.0634667700260697,0.9014575411913816,0.052067797903444075,43.1,1.64,46.36,0.17,36.88,0.07,0.9296807592752373,0.07756988381881859,1.1686550976138828,0.09337375595485577
50000US0609,California,9,57.26,1.62,53.64,0.2,63.12,0.17,1.0674869500372857,0.06836401491222607,0.9071609632446135,0.056217688010520815,42.74,1.55,46.36,0.17,36.88,0.07,0.9219154443485764,0.07363022327116056,1.1588937093275489,0.0884559889334067
50000US4506,South Carolina,6,57.39,1.01,68.63,0.57,63.12,0.17,0.8362232259944631,0.043326527596357516,0.9092205323193917,0.036900378265585586,42.61,1.78,31.37,0.57,36.88,0.07,1.3583041122091168,0.16289938927697223,1.1553687635574836,0.10091553782195002
50000US0649,California,49,57.54,1.28,53.64,0.2,63.12,0.17,1.0727069351230425,0.05572565863814718,0.9115969581749049,0.04546837426870348,42.46,1.02,46.36,0.17,36.88,0.07,0.9158757549611735,0.05072108229741133,1.1513015184381779,0.05968519909317458
50000US5310,Washington,10,57.69,1.14,62.47,0.41,63.12,0.17,0.9234832719705458,0.04862153222810724,0.9139733840304183,0.041045148026326105,42.31,1.35,37.53,0.43,36.88,0.07,1.1273647748467892,0.09778884852547298,1.147234273318872,0.07756570238348627
50000US0610,California,10,57.72,1.77,53.64,0.2,63.12,0.17,1.0760626398210291,0.07402088467937824,0.9144486692015209,0.06100983018647473,42.28,1.88,46.36,0.17,36.88,0.07,0.911993097497843,0.08779405484043587,1.1464208242950107,0.10630458349738019
