geoid,state,district,moved_since_previous_year,moved_since_previous_year_moe,state_moved_since_previous_year,state_moved_since_previous_year_moe,country_moved_since_previous_year,country_moved_since_previous_year_moe,ratio_state_moved_since_previous_year,ratio_state_moved_since_previous_year_moe,ratio_country_moved_since_previous_year,ratio_country_moved_since_previous_year_moe,same_house_year_ago,same_house_year_ago_moe,state_same_house_year_ago,state_same_house_year_ago_moe,country_same_house_year_ago,country_same_house_year_ago_moe,ratio_state_same_house_year_ago,ratio_state_same_house_year_ago_moe,ratio_country_same_house_year_ago,ratio_country_same_house_year_ago_moe,moved_same_county,moved_same_county_moe,state_moved_same_county,state_moved_same_county_moe,country_moved_same_county,country_moved_same_county_moe,ratio_state_moved_same_county,ratio_state_moved_same_county_moe,ratio_country_moved_same_county,ratio_country_moved_same_county_moe,moved_different_county,moved_different_county_moe,state_moved_different_county,state_moved_different_county_moe,country_moved_different_county,country_moved_different_county_moe,ratio_state_moved_different_county,ratio_state_moved_different_county_moe,ratio_country_moved_different_county,ratio_country_moved_different_county_moe,moved_different_state,moved_different_state_moe,state_moved_different_state,state_moved_different_state_moe,country_moved_different_state,country_moved_different_state_moe,ratio_state_moved_different_state,ratio_state_moved_different_state_moe,ratio_country_moved_different_state,ratio_country_moved_different_state_moe,moved_from_abroad,moved_from_abroad_moe,state_moved_from_abroad,state_moved_from_abroad_moe,country_moved_from_abroad,country_moved_from_abroad_moe,ratio_state_moved_from_abroad,ratio_state_moved_from_abroad_moe,ratio_country_moved_from_abroad,ratio_country_moved_from_abroad_moe
50000US5305,Washington,5,20.84,1.31,17.74,0.44,14.62,0.06,1.1747463359639234,0.2060893950666743,1.4254445964432285,0.19090973740156303,79.16,1.36,82.26,0.42,85.38,0.06,0.9623146122052029,0.04289370600995677,0.9271492152728976,0.033160685219425085,11.33,0.99,10.16,0.35,8.32,0.05,1.1151574803149606,0.27203643731371807,1.361778846153846,0.2543574896814355,4.57,0.59,3.14,0.15,3.25,0.03,1.4554140127388535,0.5160260645922071,1.4061538461538463,0.3890698379033479,4.37,0.6,3.58,0.19,2.36,0.02,1.2206703910614525,0.4660766961651917,1.8516949152542375,0.5398980104862457,0.57,0.19,0.85,0.09,0.69,0.01,0.6705882352941176,0.5957446808510639,0.8260869565217391,0.5747899159663866
50000US2507,Massachusetts,7,20.74,1.08,13.04,0.31,14.62,0.06,1.5904907975460123,0.24140209655448366,1.4186046511627908,0.1593893164056652,79.26,1.11,86.96,0.31,85.38,0.06,0.9114535418583258,0.03202778967396684,0.9283204497540408,0.027306156070734368,10.1,0.87,7.14,0.22,8.32,0.05,1.4145658263305323,0.3311840286504147,1.2139423076923077,0.2237333483579144,4.1,0.43,2.6,0.13,3.25,0.03,1.5769230769230766,0.4896857528436475,1.2615384615384615,0.2879298591122557,4.16,0.4,2.21,0.14,2.36,0.02,1.8823529411764708,0.6028985507246377,1.7627118644067798,0.3688860159448395,2.37,0.34,1.08,0.1,0.69,0.01,2.194444444444444,1.0449671393981321,3.4347826086956528,1.0852941176470592
50000US1301,Georgia,1,20.67,1.34,16.36,0.35,14.62,0.06,1.2634474327628364,0.21797343147666165,1.4138166894664845,0.19491833098781333,79.33,1.38,83.64,0.32,85.38,0.06,0.9484696317551411,0.040256693572162584,0.929140313890841,0.033631977696655546,11.85,0.97,7.79,0.23,8.32,0.05,1.521181001283697,0.33915871696420324,1.424278846153846,0.2503008527894434,4.37,0.76,4.89,0.2,3.25,0.03,0.8936605316973416,0.3845828393815375,1.3446153846153845,0.4925579457657931,3.97,0.51,3.0,0.15,2.36,0.02,1.3233333333333335,0.47351712614870517,1.6822033898305087,0.46074840192487254,0.48,0.17,0.68,0.08,0.69,0.01,0.7058823529411764,0.6754385964912281,0.6956521739130435,0.5130252100840337
50000US4903,Utah,3,20.59,1.28,17.58,0.66,14.62,0.06,1.171217292377702,0.23389091078760738,1.4083447332421342,0.18666534419259215,79.41,1.25,82.42,0.65,85.38,0.06,0.9634797379276874,0.04553211678315241,0.9300773014757554,0.0305880834610745,11.84,0.91,9.69,0.47,8.32,0.05,1.2218782249742002,0.3070759389891882,1.423076923076923,0.2358628082386712,2.95,0.47,3.5,0.32,3.25,0.03,0.8428571428571429,0.42625703842734364,0.9076923076923078,0.3060142402666262,4.39,0.64,3.57,0.31,2.36,0.02,1.2296918767507004,0.576449939915249,1.8601694915254237,0.5739423974718092,1.4,0.44,0.83,0.15,0.69,0.01,1.686746987951807,1.7262905162064823,2.028985507246377,1.3344537815126052
50000US0404,Arizona,4,20.51,1.69,18.46,0.44,14.62,0.06,1.1110509209100758,0.23619728813957447,1.402872777017784,0.24270892595143276,79.49,0.75,81.54,0.44,85.38,0.06,0.97485896492519,0.02891764223868622,0.93101428906067,0.018877049784815397,9.07,1.33,11.85,0.36,8.32,0.05,0.7654008438818566,0.27122826600633393,1.0901442307692308,0.33282625372183433,4.21,0.66,1.84,0.12,3.25,0.03,2.2880434782608696,1.020170859041291,1.2953846153846154,0.4301052870777155,6.29,0.77,3.99,0.22,2.36,0.02,1.576441102756892,0.5615151496059023,2.665254237288136,0.6977662860015801,0.93,0.37,0.78,0.09,0.69,0.01,1.1923076923076923,1.2403798100949526,1.347826086956522,1.111764705882353
50000US0402,Arizona,2,20.44,1.46,18.46,0.44,14.62,0.06,1.1072589382448537,0.21108351097252315,1.3980848153214775,0.21120534778572925,79.56,1.17,81.54,0.44,85.38,0.06,0.9757174392935982,0.03922889977375613,0.9318341531974702,0.028716576589389843,12.72,1.26,11.85,0.36,8.32,0.05,1.0734177215189875,0.2781352441926855,1.528846153846154,0.3212717730016945,2.24,0.43,1.84,0.12,3.25,0.03,1.2173913043478262,0.6288561936402468,0.6892307692307693,0.27736327829116797,4.4,0.54,3.99,0.22,2.36,0.02,1.1027568922305764,0.3934802195101974,1.864406779661017,0.48926237161531283,1.08,0.34,0.78,0.09,0.69,0.01,1.3846153846153846,1.2073963018490754,1.5652173913043481,1.03109243697479
50000US5307,Washington,7,20.43,1.18,17.74,0.44,14.62,0.06,1.1516347237880498,0.19027706238831976,1.3974008207934336,0.17289539479593977,79.57,1.47,82.26,0.42,85.38,0.06,0.9672988086554825,0.045619120177854196,0.9319512766455844,0.03574415156160284,12.08,0.88,10.16,0.35,8.32,0.05,1.1889763779527558,0.25544915720283873,1.4519230769230769,0.2289977304214539,2.17,0.38,3.14,0.15,3.25,0.03,0.6910828025477707,0.308769861036281,0.6676923076923077,0.24619375852143616,4.68,0.65,3.58,0.19,2.36,0.02,1.307262569832402,0.5033058691892991,1.9830508474576272,0.5845004668534081,1.5,0.34,0.85,0.09,0.69,0.01,1.7647058823529411,1.1870100783874582,2.173913043478261,1.0487394957983194
50000US4824,Texas,24,20.41,1.3,15.89,0.22,14.62,0.06,1.2844556324732537,0.199230164983321,1.3960328317373463,0.18930031140521605,79.59,1.52,84.11,0.18,85.38,0.06,0.9462608488883605,0.04019342989543075,0.9321855235418132,0.03691571585096688,10.67,0.94,9.25,0.18,8.32,0.05,1.1535135135135135,0.2482307398214196,1.2824519230769231,0.24138434178610485,5.46,0.73,3.86,0.1,3.25,0.03,1.4145077720207255,0.45183215130023635,1.68,0.48028707771549767,2.95,0.51,1.94,0.07,2.36,0.02,1.520618556701031,0.636337031420438,1.2500000000000002,0.4534223945988652,1.33,0.32,0.85,0.05,0.69,0.01,1.5647058823529414,0.9402777777777779,1.9275362318840583,0.9836134453781514
50000US2705,Minnesota,5,20.32,1.02,14.42,0.34,14.62,0.06,1.4091539528432733,0.2080369241192412,1.3898768809849522,0.150945444201575,79.68,0.95,85.58,0.33,85.38,0.06,0.9310586585650854,0.029382286789250565,0.933239634574842,0.023565117706242724,11.32,0.79,7.15,0.25,8.32,0.05,1.5832167832167832,0.33209949079514295,1.3605769230769231,0.20626438350821077,5.21,0.47,4.68,0.17,3.25,0.03,1.1132478632478633,0.2821039156970764,1.603076923076923,0.31885320405999085,3.09,0.4,2.04,0.13,2.36,0.02,1.5147058823529411,0.5875937944845223,1.3093220338983051,0.36120089061265537,0.7,0.22,0.55,0.08,0.69,0.01,1.2727272727272725,1.1955420466058762,1.0144927536231885,0.6672268907563026
50000US4819,Texas,19,20.3,1.32,15.89,0.22,14.62,0.06,1.277533039647577,0.20155622818077853,1.3885088919288646,0.19197457855496006,79.7,1.07,84.11,0.18,85.38,0.06,0.94756866008798,0.029498705038916263,0.9334738814710706,0.02637641107897828,11.36,1.03,9.25,0.18,8.32,0.05,1.228108108108108,0.27060181152600077,1.3653846153846152,0.2640165617112998,6.42,0.71,3.86,0.1,3.25,0.03,1.6632124352331608,0.4543574038254889,1.9753846153846153,0.47343205574912894,1.58,0.33,1.94,0.07,2.36,0.02,0.8144329896907218,0.39949982706786924,0.6694915254237289,0.2910292322057028,0.94,0.32,0.85,0.05,0.69,0.01,1.1058823529411765,0.8861111111111112,1.3623188405797102,0.9672268907563026
50000US5309,Washington,9,20.23,1.41,17.74,0.44,14.62,0.06,1.140360766629087,0.2156635316710862,1.3837209302325582,0.2042473874898943,79.77,1.26,82.26,0.42,85.38,0.06,0.9697301239970824,0.0405380529391485,0.9342937456078707,0.030828256609617726,13.2,1.22,10.16,0.35,8.32,0.05,1.2992125984251968,0.3300618507105994,1.5865384615384615,0.31234948331332457,1.69,0.35,3.14,0.15,3.25,0.03,0.5382165605095541,0.2749794146648911,0.52,0.22500378730495377,3.64,0.56,3.58,0.19,2.36,0.02,1.0167597765363128,0.4219619257763903,1.5423728813559323,0.5007541478129715,1.7,0.35,0.85,0.09,0.69,0.01,2.0,1.2611982082866744,2.4637681159420293,1.0861344537815125
50000US2106,Kentucky,6,20.05,1.19,15.65,0.49,14.62,0.06,1.281150159744409,0.23253000624483003,1.3714090287277703,0.17405006437703982,79.95,0.96,84.35,0.45,85.38,0.06,0.9478363959691761,0.03287648705781816,0.9364019676739284,0.023803809320627697,11.5,0.92,8.89,0.41,8.32,0.05,1.293588301462317,0.32698823290728335,1.3822115384615383,0.23777555298404068,5.22,0.59,3.74,0.19,3.25,0.03,1.3957219251336896,0.45850266996380307,1.606153846153846,0.39276246023329797,2.63,0.37,2.58,0.17,2.36,0.02,1.0193798449612403,0.4229950961901169,1.1144067796610169,0.332471450118509,0.7,0.29,0.44,0.09,0.69,0.01,1.5909090909090908,2.0549865229110513,1.0144927536231885,0.8701680672268908
50000US0801,Colorado,1,20.04,1.17,18.46,0.49,14.62,0.06,1.085590465872156,0.18452213671862952,1.3707250341997264,0.17130842590651857,79.96,1.12,81.54,0.51,85.38,0.06,0.9806230071130732,0.03973954170042422,0.9365190911220426,0.027551926126097658,8.43,0.75,8.74,0.35,8.32,0.05,0.9645308924485125,0.2492752254963279,1.0132211538461537,0.1924735516809472,6.78,0.75,5.04,0.25,3.25,0.03,1.3452380952380953,0.43213847374216136,2.086153846153846,0.5000946826238448,4.3,0.45,4.08,0.22,2.36,0.02,1.053921568627451,0.3352211109772262,1.8220338983050848,0.4122674710910006,0.54,0.19,0.6,0.09,0.69,0.01,0.9000000000000001,0.9241261722080136,0.7826086956521741,0.573529411764706
50000US5310,Washington,10,20.04,1.44,17.74,0.44,14.62,0.06,1.1296505073280723,0.2185161868788035,1.3707250341997264,0.20824475252268168,79.96,1.26,82.26,0.42,85.38,0.06,0.9720398735716022,0.0405616396182434,0.9365190911220426,0.030831384292840703,10.78,1.08,10.16,0.35,8.32,0.05,1.061023622047244,0.28603989598760854,1.2956730769230769,0.2751983172469189,3.76,0.58,3.14,0.15,3.25,0.03,1.197452229299363,0.48493966717833503,1.156923076923077,0.3783138918345705,4.85,0.76,3.58,0.19,2.36,0.02,1.3547486033519551,0.5699866200323936,2.055084745762712,0.6789485024779143,0.64,0.23,0.85,0.09,0.69,0.01,0.7529411764705882,0.7085666293393058,0.9275362318840581,0.6936974789915967
50000US1198,District of Columbia,0,19.86,1.15,19.86,1.15,14.62,0.06,1.0,0.23240059517101497,1.3584131326949385,0.16847134473156272,80.14,1.07,80.14,1.07,85.38,0.06,1.0,0.05341606083290597,0.9386273131881003,0.02638365413486307,9.55,0.91,9.55,0.91,8.32,0.05,1.0,0.3846443240563699,1.1478365384615385,0.2325545110582361,0.0,0.0,0.0,0.0,3.25,0.03,,,0.0,0.0,8.65,0.64,8.65,0.64,2.36,0.02,1.0,0.29758281158240035,3.665254237288136,0.6045392515980752,1.66,0.27,1.66,0.27,0.69,0.01,1.0,0.6682819547470832,2.4057971014492754,0.8525210084033614
50000US5102,Virginia,2,19.85,1.38,15.68,0.34,14.62,0.06,1.2659438775510206,0.23102966142387207,1.3577291381668948,0.19993000868341465,80.15,1.24,84.32,0.33,85.38,0.06,0.9505455407969641,0.03685255754647472,0.9387444366362147,0.030366017952243238,8.83,1.04,6.54,0.25,8.32,0.05,1.3501529051987768,0.4218819876794407,1.0612980769230769,0.2627654764020173,4.85,0.73,5.02,0.17,3.25,0.03,0.9661354581673307,0.3566811671930557,1.4923076923076921,0.4768216936827754,5.51,0.52,3.18,0.14,2.36,0.02,1.7327044025157232,0.48054058338617633,2.3347457627118646,0.4802844214608921,0.66,0.17,0.94,0.08,0.69,0.01,0.7021276595744682,0.4847241222070224,0.9565217391304349,0.5205882352941177
50000US0405,Arizona,5,19.73,1.4,18.46,0.44,14.62,0.06,1.0687973997833153,0.20274474569702092,1.3495212038303694,0.20259866155642722,80.27,1.38,81.54,0.44,85.38,0.06,0.9844248221731664,0.04447387095405964,0.9401499180135863,0.03364745149786395,12.77,1.09,11.85,0.36,8.32,0.05,1.0776371308016877,0.24967336194490247,1.5348557692307692,0.28047714602303675,1.55,0.57,1.84,0.12,3.25,0.03,0.842391304347826,0.7325581395348837,0.47692307692307695,0.3596046053628238,4.72,0.67,3.99,0.22,2.36,0.02,1.1829573934837092,0.46771297340549534,2.0,0.6017381311498959,0.68,0.28,0.78,0.09,0.69,0.01,0.8717948717948718,0.9315342328835584,0.9855072463768118,0.8403361344537817
50000US3712,North Carolina,12,19.66,1.31,15.67,0.32,14.62,0.06,1.2546266751754946,0.21853153334840789,1.344733242134063,0.19024725274725277,80.34,1.1,84.33,0.33,85.38,0.06,0.952685876912131,0.0335445985623165,0.9409697821503866,0.027089687468723173,11.17,0.97,8.04,0.23,8.32,0.05,1.3893034825870647,0.3210437739109163,1.3425480769230769,0.24931847633411774,2.64,0.41,3.83,0.16,3.25,0.03,0.6892950391644909,0.27216542719195813,0.8123076923076924,0.26732692016361154,4.97,0.73,3.3,0.14,2.36,0.02,1.506060606060606,0.5712393288195468,2.1059322033898304,0.6543848308554191,0.88,0.3,0.5,0.06,0.69,0.01,1.76,1.6461038961038958,1.2753623188405798,0.9067226890756304
50000US3201,Nevada,1,19.62,1.33,17.42,0.67,14.62,0.06,1.1262916188289323,0.23969043670536205,1.341997264021888,0.19296081983411686,80.38,1.53,82.58,0.65,85.38,0.06,0.9733591668684911,0.05238114449027743,0.9414382759428438,0.037162967440488415,14.84,1.21,11.98,0.6,8.32,0.05,1.2387312186978297,0.3269032497813641,1.783653846153846,0.31231481120313664,0.2,0.19,0.88,0.11,3.25,0.03,0.2272727272727273,0.49639249639249644,0.06153846153846154,0.11806923193455537,3.69,0.54,4.06,0.25,2.36,0.02,0.9088669950738917,0.37937775179494687,1.5635593220338984,0.48416289592760187,0.88,0.24,0.5,0.1,0.69,0.01,1.76,1.7333333333333336,1.2753623188405798,0.7327731092436974
50000US4005,Oklahoma,5,19.38,1.22,16.72,0.42,14.62,0.06,1.1590909090909092,0.20429376266187516,1.3255813953488371,0.17777794412671796,80.62,1.14,83.28,0.39,85.38,0.06,0.968059558117195,0.03644516111478573,0.9442492386975874,0.028031284733745263,12.82,1.01,9.65,0.32,8.32,0.05,1.3284974093264248,0.2977614515572441,1.5408653846153846,0.26131791580166974,3.52,0.4,4.06,0.19,3.25,0.03,0.8669950738916257,0.2788022495820034,1.083076923076923,0.26617179215270415,2.44,0.47,2.63,0.18,2.36,0.02,0.9277566539923955,0.4866874863824534,1.033898305084746,0.4158586511527688,0.6,0.29,0.39,0.08,0.69,0.01,1.5384615384615383,2.211393273850377,0.8695652173913044,0.8659663865546219
50000US1214,Florida,14,19.34,1.32,15.81,0.25,14.62,0.06,1.2232764073371283,0.20572115492353546,1.3228454172366622,0.1914356079887415,80.66,1.16,84.19,0.24,85.38,0.06,0.958071029813517,0.03301932159440489,0.9447177324900445,0.02850043721719159,11.34,0.98,8.69,0.19,8.32,0.05,1.3049482163406214,0.2827450980392157,1.3629807692307692,0.2519680034209815,3.47,0.54,3.01,0.1,3.25,0.03,1.1528239202657808,0.43588468635705685,1.0676923076923077,0.35204893198000303,3.24,0.61,2.97,0.11,2.36,0.02,1.0909090909090908,0.49225774225774216,1.3728813559322035,0.5402571284924227,1.3,0.43,1.14,0.08,0.69,0.01,1.1403508771929827,0.9189607175997525,1.884057971014493,1.3012605042016807
50000US4821,Texas,21,19.13,1.37,15.89,0.22,14.62,0.06,1.2039018250471993,0.20581143439111374,1.3084815321477428,0.19815776866185586,80.87,1.08,84.11,0.18,85.38,0.06,0.9614790155748425,0.029796028098089247,0.9471773249004452,0.02662991803494577,10.71,1.15,9.25,0.18,8.32,0.05,1.157837837837838,0.293821707211847,1.2872596153846154,0.29192472107009687,5.04,0.6,3.86,0.1,3.25,0.03,1.305699481865285,0.3787878787878788,1.5507692307692307,0.39789425844569004,2.56,0.5,1.94,0.07,2.36,0.02,1.3195876288659794,0.6114880144730891,1.0847457627118644,0.4421460892049127,0.82,0.26,0.85,0.05,0.69,0.01,0.9647058823529412,0.7277777777777779,1.1884057971014492,0.7882352941176471
50000US1210,Florida,10,19.1,1.45,15.81,0.25,14.62,0.06,1.2080961416824796,0.2216903514135616,1.3064295485636117,0.209085022606821,80.9,1.4,84.19,0.24,85.38,0.06,0.9609217246703885,0.03873701069506004,0.9475286952447881,0.03412631626079215,12.06,1.2,8.69,0.19,8.32,0.05,1.3878020713463752,0.3370270270270271,1.4495192307692308,0.30589469213333154,3.19,0.55,3.01,0.1,3.25,0.03,1.0598006644518272,0.436348769626855,0.9815384615384615,0.35661263444932584,2.47,0.52,2.97,0.11,2.36,0.02,0.8316498316498316,0.41233766233766234,1.0466101694915255,0.4584500466853409,1.38,0.4,1.14,0.08,0.69,0.01,1.2105263157894737,0.8759665944942778,2.0,1.2176470588235293
