Rank,Pollster,Pollster Rating ID,Polls Analyzed,NCPP/AAPOR/Roper,Banned by 538,Predictive Plus-Minus,538 Grade,Mean-Reverted Bias,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,# of Polls for Bias Analysis,Bias,House Effect,Average Distance from Polling Average (ADPA),Herding Penalty
19,Blum & Weprin Associates,32,19,yes,no,-0.5370805569371541,A/B,-0.6930586251044314,0.9473684210526316,0.2105263157894737,4.740097848992598,5.245323230143717,-0.5003710405445295,-2.155558391362864,-0.4691066218503643,17,-3.425431644215303,0.5520147939495113,4.496007923756143,0.0729941157575656
20,Greenberg Quinlan Rosner/American Viewpoint,127,8,yes,no,-0.463154299736858,A/B,-0.6666186527357043,1.0,0.5,4.377521991729736,5.458382514305143,-1.076006181968817,-1.622196341123171,-0.3597660894434694,6,-4.268723805745442,1.512220143538255,5.405572548404853,0.0
21,Los Angeles Times,172,36,yes,no,-0.4478968987718507,A/B,-0.1703826699373148,0.8472222222222222,0.2777777777777778,5.032578468322754,6.34540278620666,-1.307969977277317,-0.8479272108704069,-0.3299054331784183,23,-0.6038673235022504,0.8650991554956743,5.176007332823471,0.1241410678532038
22,Trafalgar Group,338,76,no,no,-0.44111500781667,A-,-1.322880839391394,0.6578947368421053,0.3289473684210527,4.464504016073127,4.785290985686268,-0.3159326290065507,-0.628346204721615,-0.4965072263540098,62,-1.730800259497858,-4.426759876682544,5.635691353916745,0.0
23,Public Policy Institute of California,262,17,yes,no,-0.4350847160589734,A/B,-1.142767725530053,1.0,0.2352941176470588,5.058373956119313,6.340402037348159,-1.277173740622257,-0.6710188021511885,-0.2660216305465535,11,-4.278469779274681,-1.420514016184773,,0.0
24,Christopher Newport University,50,13,yes,no,-0.4157477143028115,A/B,1.035338401208234,1.0,0.3076923076923077,5.421989147479717,5.367781174548801,0.0590623135375051,-0.6752688755025994,-0.2542033919649918,12,2.971978823343913,2.005821493074492,4.543501255013545,0.0
25,Strategic Vision LLC,320,133,no,yes,-0.4093433552458224,F,-1.565349522249775,0.8872180451127819,0.1879699248120301,3.9196988729606,5.182542290160064,-1.257989076592874,-0.7759489547791791,-0.5668363365415784,110,-2.31423058943315,-2.151473507112263,4.35200216571219,0.1182012843699503
26,Public Opinion Strategies,260,77,yes,no,-0.4030286177198171,A-,-1.463957198958165,0.6818181818181818,0.2077922077922078,5.400956191025771,5.741270746812678,-0.335460215180316,-0.7056691730313095,-0.490177117985457,75,-2.147500305175781,-4.293983837071058,4.560357895633497,0.3083430447215038
27,CBS News/The New York Times,36,62,yes,no,-0.3994224601982951,A-,0.3025593291962615,0.7741935483870968,0.2258064516129032,4.476905945808657,5.503620680677048,-1.021860394261805,-0.5990196850785335,-0.35552109890906,51,0.5306224449008119,1.517954371398464,4.121276802729937,0.2109512837990196
28,Mason-Dixon Polling & Strategy,197,445,no,no,-0.3941200659842879,A-,-0.515802352230278,0.8595505617977528,0.2314606741573034,5.126149068253763,5.502781457258179,-0.3717780483978276,-0.5459035304715585,-0.4987849836613195,388,-0.571141262644345,-1.116511699454303,5.146237051158085,0.0896130661159873
29,Public Policy Polling,263,454,no,no,-0.3918422921735414,A-,0.9321825021704334,0.7929515418502202,0.3149779735682819,5.105827020653544,5.550127917653857,-0.4394465563937247,-0.432649072316288,-0.4073063046667555,327,1.010979282017513,1.05247566824167,4.572874664914711,0.0
30,Emerson College,88,201,yes,no,-0.3918043792305625,A-,0.8432465238911562,0.763681592039801,0.2189054726368159,5.191912617849473,5.690332812916279,-0.4935658544602152,-0.6118003743061373,-0.5538779247346115,159,0.954035165174952,-1.373640348124942,4.557129234575539,0.2225262811932984
31,University of Connecticut,347,11,yes,no,-0.3806335800402641,A/B,-0.1612337393223545,0.9545454545454546,0.0909090909090909,3.636163191361861,5.702708061135182,-2.061690529166732,-1.812616607025872,-0.2986774449822354,11,-0.9784968983043324,-0.6515151515151515,8.0,0.0
32,Grove Insight,129,29,no,no,-0.3776262492576777,A/B,0.5517539789181637,0.896551724137931,0.0689655172413793,2.952531748804553,5.123228803365846,-2.165842713954703,-1.854106225333469,-0.8506096999546133,29,1.202679075043777,3.314108001571689,3.847079442203469,0.6483529342285926
33,The Winston Group,385,10,yes,no,-0.3628111184548534,A/B,1.084935521863051,0.5,0.4,4.175388336181641,5.243162856132545,-1.062920179344315,-0.9085701682795456,-0.2424686196782707,10,4.065433502197266,0.5544444618730905,4.733011955875233,0.0
34,National Research Inc.,225,15,no,no,-0.3587017883973611,A/B,-0.4235082427366348,0.7666666666666667,0.1333333333333333,4.39080924987793,6.097393954064403,-1.701730363579884,-1.639751504682349,-0.6537048030578724,12,-1.213219165802002,-2.9290894101226,4.708379748852069,0.1404424683507143
35,Fairleigh Dickinson University (PublicMind),92,20,yes,no,-0.3279580548271417,A/B,-0.2165206327505528,0.95,0.1,4.440978050231934,5.358511689099378,-0.9126792982608564,-0.8380466513142142,-0.2720944607518267,19,-0.6907659831799959,2.435522153841081,4.523587596163656,0.2655406954045892
36,Quinnipiac University,267,219,yes,no,-0.3149763346868122,A-,0.5485570013033918,0.817351598173516,0.2694063926940639,4.796165736298583,5.627070789704262,-0.8260507127990924,-0.3017991517287681,-0.2669757445552307,165,0.6401595375754616,0.5421931999487883,4.89597885188422,0.0
37,Ciruli Associates,51,20,yes,no,-0.303590018460776,A/B,-0.6109127602102492,0.95,0.1,3.77440013885498,5.259219176594611,-1.479964697133042,-0.8894583268149803,-0.2662673607425706,20,-2.040736198425293,-2.6586610296301,5.241835566962915,0.3181341688029125
38,Elon University,86,8,yes,no,-0.2903980097900636,A/B,0.4572253997293468,0.5625,0.125,3.152763366699219,4.723235578300777,-1.565617870994968,-1.421942556563748,-0.3126489823390849,8,2.079483032226563,0.7813109061682718,3.566882986360794,0.5681594481906921
39,Elway Research,87,21,no,no,-0.2878686657814885,A/B,0.7794182414161517,0.9047619047619048,0.0476190476190476,3.919994990030924,5.772737359049807,-1.847888028412294,-1.814172326516857,-0.6849752711822185,20,2.090176296234131,3.493979747174967,4.20824696842231,0.3597209642869031
40,Louisville Courier-Journal,174,10,yes,no,-0.2754931355358016,A/B,-0.222187321142904,0.8,0.1,3.537170791625976,5.386656777087478,-1.844631644854912,-1.669356578377343,-0.2448219489169292,10,-1.515018844604492,-1.027777438693577,5.348942075163053,0.3032368524958057
41,YouGov,391,455,no,no,-0.273505537653068,B+,0.6766339784370394,0.8868131868131868,0.3208791208791209,5.038859289819068,5.174998705898146,-0.1312850754724879,-0.3428717352678932,-0.3236017801576189,395,0.7261292566227008,0.280365261549705,4.228015171115431,0.0373586246742392
42,Suffolk University,323,90,yes,no,-0.2723487593473102,B+,0.9143103775867304,0.8111111111111111,0.2444444444444444,5.100966284010146,6.171914465587268,-1.066093840970535,-0.2287499662750266,-0.1754884407814448,54,1.371931076049805,1.690754449233349,5.290999667886991,0.0
43,RKM Research and Communications Inc.,272,35,no,no,-0.2502523505654984,B+,-0.1532592156273004,0.8428571428571429,0.2285714285714286,5.225879396711077,6.439681586328422,-1.208947849010754,-0.8296452957554462,-0.4097837807572352,21,-0.5748111179896763,-1.533106154161316,4.493119662042916,0.0427549324484808
44,Temple University,336,6,yes,no,-0.2497520325929586,A/B,-0.2160478104403776,1.0,0.1666666666666667,3.65904426574707,5.680047545301856,-2.016148938948197,-1.860153293013499,-0.2040752715764456,5,-2.454236602783203,0.7319953757764655,3.404894870860216,0.1419554183619184
45,National Journal,224,12,yes,no,-0.2406283419287637,A/B,-0.1370833076306571,1.0,0.0,2.58882745107015,5.180404786862579,-2.586722995185841,-1.52528217964292,-0.3327836470072496,12,-0.6283082962036133,0.3330994514929227,3.469211118333305,0.890053168558799
46,Fox News/Opinion Dynamics Corp.,104,34,yes,no,-0.239209639108953,A/B,-0.2998547030637924,0.7205882352941176,0.1176470588235294,3.895261147442986,5.056274404687062,-1.156158916637486,-0.3006300472953212,-0.1202377278616926,28,-0.9087292807442802,-1.627355866590143,4.126998931852371,0.1285408132013464
47,Michigan State University,463,2,yes,no,-0.2283145698385184,A/B,-0.0470255683040697,1.0,0.0,1.030765533447266,7.354118595320895,-6.318498721267041,-4.047355406498196,-0.3548497897677919,2,-0.5363655090332031,-1.523426869532446,,0.0
48,Abt Associates,7,10,yes,no,-0.2230922139435841,A/B,0.8133371554939981,0.9,0.3,3.862665557861328,5.52278232564798,-1.655262427180062,-0.7831479146443763,-0.199387794214817,9,3.323231167263455,0.2381627661094586,4.072007221867431,0.3614499188529773
49,Muhlenberg College,219,32,yes,no,-0.2210083283841471,B+,-0.1419693389474709,0.859375,0.09375,3.769753098487854,5.368856193738219,-1.594248754643777,-1.1234256042749,-0.5991136673049047,31,-0.2723562179073211,0.2832179336884245,3.64568803660892,1.073063459774076
50,Florida Atlantic University,97,9,no,no,-0.2161511206524903,A/B,0.6514053149811404,0.6666666666666666,0.0,3.636521657307943,6.661359402823979,-3.019983404909446,-2.279551776412484,-0.6921803183240303,5,3.434135437011719,0.3300030026579208,3.668343239936295,0.4501304626064923
51,Gallup,112,84,yes,no,-0.2154808928142098,B+,-0.5755774082287161,0.6904761904761905,0.2976190476190476,4.266228675842285,5.117734480780458,-0.8466514643315844,-0.096501672301949,-0.060565040547599,69,-0.978036880493164,-1.518965194111872,4.154284865219057,0.0
52,RT Strategies,275,45,yes,no,-0.2021314652948369,B+,1.002058800878988,0.6666666666666666,0.3777777777777778,5.921910264756945,5.55415604226124,0.3726085631022948,-0.007357279439896,-0.0034954131741795,45,2.109171719021267,3.299978956228956,7.47149558923968,0.0
53,Potomac Incorporated,256,8,yes,no,-0.1972893066528501,A/B,-0.2989758208518576,0.875,0.125,4.56696891784668,6.241066865240605,-1.669243606787337,-1.544391936630235,-0.1745590910046846,6,-3.137205123901367,1.314545504252116,4.517884820899634,0.3518447239383526
54,University of Massachusetts Lowell,355,26,yes,no,-0.1954232368586374,B+,0.8186157419018985,0.7884615384615384,0.3076923076923077,6.218944916358361,6.265896810268798,-0.0420975533038478,-0.1259619758484186,-0.0703227270573977,17,1.859513002283433,-0.3285967155637531,4.401121623922567,0.1050587827293154
55,Northern Arizona University,234,4,yes,no,-0.1914932071865612,A/B,-0.2397644110238754,1.0,0.25,3.581880569458008,5.649931661070706,-2.063196751006109,-3.035183791440176,-0.2190712974725346,4,-3.321882247924805,-5.12962962962963,6.0,0.1880023408760161
56,Market Shares Corp.,187,25,yes,no,-0.1904870355902863,A/B,-1.116463552379,0.84,0.28,5.833436889648437,5.459175339675063,0.3791158905799643,-0.5181010231370671,-0.1709831472780438,22,-4.090595765547319,-1.910674497184886,4.568093518841848,0.3775032824995286
57,Angus Reid Global,13,31,no,no,-0.1891576113303911,B+,-1.156968436932061,0.935483870967742,0.0645161290322581,3.188856924733808,4.892401796541075,-1.698690531200678,-1.402220205704477,-0.6996465885099965,31,-2.318777145877961,0.7856167374884813,2.999321370691419,0.7563524627758474
58,Tarrance Group,333,31,no,no,-0.1877888208114844,B+,-0.9321207960623455,0.8387096774193549,0.2258064516129032,5.727274064094789,6.269753478804693,-0.5376250741033142,-0.6242494207968549,-0.3175109413086395,27,-2.074528164333767,-5.391174342874497,6.234594881392646,0.0
59,Pharos Research Group,254,33,no,yes,-0.181091218007201,F,0.7837683835376599,0.9393939393939394,0.1515151515151515,3.727244232640122,4.996001396717071,-1.26390282347036,-0.842373933489471,-0.4265716036697134,33,1.547749663844253,0.8805577264040833,4.020183078748705,0.2274283195553339
60,Cygnal,67,20,no,no,-0.1781167384084711,B+,2.050310420752583,0.95,0.15,4.379972457885742,5.295646775726844,-0.9108199772345128,-1.34953509896708,-0.6761011620367349,20,4.092532348632813,-0.6020701489306607,3.324110385764116,0.7310457766211726
61,Susquehanna Polling & Research Inc.,326,46,no,no,-0.1748126895970972,B+,0.6142521511939343,0.717391304347826,0.2608695652173913,5.351888656616211,5.511775495543286,-0.1550324983204863,-0.4183686364766303,-0.2690414781712609,41,0.9773832181604896,-1.257913985607085,5.39987791449076,0.0
62,Castleton University,45,3,yes,no,-0.1563042889882817,A/B,,1.0,0.3333333333333333,9.956270853678385,10.88909266019898,-0.927967465914008,-0.9340794387797972,-0.0971842088293806,0,,,,0.0
63,Wick,284,7,no,no,-0.1558947575762597,A/B,-0.1659714457749334,0.7142857142857143,0.0,2.200096947806222,3.925699169269442,-1.72074788085663,-1.907580142382158,-0.5251704232891569,7,-0.6028592245919364,-3.730497145167032,5.761407580823872,0.0
64,Columbus Dispatch,57,22,yes,no,-0.1475464656834379,A/B,0.9783372510157,0.9318181818181818,0.4545454545454545,5.398525238037109,5.205428865655135,0.1979507129885654,0.0248458562544853,0.0090245301346492,17,2.964653912712546,2.693081749123809,5.531728786497386,0.0
65,Lake Research Partners,165,12,no,no,-0.1326501768887209,A/B,0.8029285444950569,0.8333333333333334,0.25,4.055425008138021,5.466569561056333,-1.406290212311723,-1.459355515377667,-0.4598786932247855,12,2.547972361246745,2.352757065794363,6.00216277883069,0.0
66,Public Religion Research Institute,428,1,yes,no,-0.1289325890940318,A/B,-0.0395204838800565,1.0,0.0,0.8620071411132812,5.824591809115224,-4.957730327395354,-3.43964563678583,-0.1576976030223359,1,-0.8620071411132812,1.674285670689174,2.0,1.229466967224174
67,Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),261,2,yes,no,-0.1255979863026042,A/B,,1.0,0.5,6.854116439819336,11.09983460908339,-4.240863828657471,-2.734016207015824,-0.1215095143011595,0,,,,0.0
68,Western New England University,380,11,yes,no,-0.110773336936859,A/B,-0.3796960623710915,1.0,0.0909090909090909,4.244961478493431,5.767853875608458,-1.518038056508439,-1.39739932795524,-0.4006546707201787,10,-1.362352752685547,2.019394173077492,2.6320729388773,1.456800997018991
69,Market Solutions Group,188,4,yes,no,-0.1008247146695525,A/B,-0.0033886612645791,1.0,0.25,4.36395263671875,6.097904568171559,-1.72909759084622,-1.376334201919537,-0.0853178266666887,2,-0.12042236328125,1.5,4.401517070360253,0.4484821992814314
70,Scripps Howard,303,5,yes,no,-0.098184248386978,A/B,-0.1400422760768051,1.0,0.4,4.791368103027343,4.674275851460114,0.1219465921738193,-1.346039014200504,-0.0874592030155707,5,-2.155317687988281,-3.042857142857143,2.449489742783178,0.5187459930409232
71,Wirthlin Worldwide,387,4,yes,no,-0.0964891616331315,A/B,-0.1770737898220353,0.75,0.25,4.596271514892578,5.801935779527188,-1.200809924028021,-1.472980607947777,-0.0660914706539207,4,-3.946443557739258,-5.564639632766311,5.251780870545703,0.1442666609128854
72,Indiana University,149,2,yes,no,-0.0950399518333271,A/B,0.0274411754240121,1.0,0.0,0.8688735961914062,5.810770506827918,-4.937042570029924,-4.491494658622478,-0.1418525011964127,2,0.8688735961914062,4.125,,0.0
73,Baruch College,22,2,yes,no,-0.0937916384673061,A/B,,1.0,0.0,5.486835479736328,9.283068746160636,-3.791378925817718,-0.5855972152556834,-0.0449379192348417,0,,,9.150757595082505,0.0
74,Knowledge Networks,164,3,yes,no,-0.0935157378665621,A/B,0.216354991345209,1.0,0.3333333333333333,4.162570953369141,4.799824124241399,-0.6323988302656692,-1.118871371364212,-0.0607503467046331,3,3.984724680582682,0.7536700251929291,3.138353812727866,0.1408930172400337
75,Princeton Survey Research Associates International,258,35,yes,no,-0.0887239206500411,A/B,0.445906197212584,0.6571428571428571,0.3142857142857143,4.96545273917062,5.250081343486058,-0.2797742637088484,0.2179024459265716,0.0947206962882701,33,1.072647672710997,0.0717976123456168,4.761307992785031,0.0
76,GfK Group,115,21,yes,no,-0.0884180165916167,A/B,0.1994639123490759,0.9285714285714286,0.1428571428571428,3.810167948404948,4.906137733499703,-1.091115444488166,-0.0279496806216638,-0.0102266942597903,21,0.5451373145693824,1.27808715300271,4.621799279541408,0.2169624036066385
77,Vox Populi Polling,372,19,no,no,-0.0824722486637735,A/B,0.39372786799427,0.7631578947368421,0.1578947368421053,3.956891310842414,5.167959912711793,-1.20621426126279,-0.7980057743990526,-0.3511785784526951,19,0.8946932742470189,-1.300901224920249,4.7989892898252,0.1668381106557129
78,Fleming & Associates,96,18,no,no,-0.0758072388077397,A/B,-0.5879486169435573,1.0,0.1111111111111111,5.132949617173937,5.804779806534564,-0.6669758487540385,-1.634495628457428,-0.5652653590346407,16,-1.821194887161255,-0.2280219780219779,4.121158932446784,0.562868849288604
79,NBC News/The Wall Street Journal,221,34,yes,no,-0.074224876190926,B+,0.7641021561590894,0.7794117647058824,0.1176470588235294,4.058129142312443,5.146696635890477,-1.083713152971445,-0.2587223426008963,-0.139355755040453,29,1.43655356045427,0.6217559621670972,3.053721056841095,0.4772484204720722
80,Louis Harris & Associates,173,2,yes,no,-0.0723071526680285,A/B,0.0189190483417673,1.0,0.0,0.8593788146972656,4.876444529458897,-4.012211374155043,-4.505402691124016,-0.0991855161597517,2,0.8593788146972656,5.375,5.497869162102364,0.0
81,KRC Research,160,22,yes,no,-0.0702860441389983,A/B,0.0850921296692476,0.9090909090909092,0.4090909090909091,7.130356875332919,6.784775967616778,0.3504352483227293,0.1624733399840239,0.0382628639685359,11,0.7248476201837714,2.476515145735307,6.49785078408102,0.0
82,Harris Insights & Analytics,133,182,yes,no,-0.0622054637457226,B+,-1.065041464326777,0.8324175824175825,0.4835164835164835,5.043052254142342,4.155189055042091,0.8927175397068411,-0.0052398861622841,-0.0045132013366394,182,-1.236527159973815,0.5303280530923598,3.927387720535005,0.0
83,Georgetown University (Battleground),114,35,yes,no,-0.0584013212469942,A/B,-0.5307652890102345,0.5571428571428572,0.1428571428571428,3.355102648053851,4.717154975203762,-1.357197986543323,-0.1870124153098356,-0.0819393053753601,35,-1.211380767822266,-1.415722424694828,3.17295012842062,0.4753679838054304
84,Behavior Research Center (Rocky Mountain Poll),27,7,yes,no,-0.0580673294746412,A/B,0.439183496978731,1.0,0.2857142857142857,5.286084856305804,6.095606947030773,-0.8046677501183795,-0.5948831378209584,-0.0653931342852088,6,5.300599416097005,2.95,4.64820917074919,0.6245835965331664
85,Escalent,189,1,yes,no,-0.0552193460940959,A/B,-0.0166482327432473,1.0,0.0,1.123138427734375,5.486926266072844,-4.35893349773188,-3.875852503676521,-0.0574515954278837,1,-1.123138427734375,-4.641666730244955,3.6,1.265265741385294
86,St. Pete Polls,314,26,no,no,-0.0501213089677877,B+,-0.1213159892046658,0.5576923076923077,0.3461538461538461,4.886916087223933,5.23281610777392,-0.3410456799433982,-0.314876591309273,-0.1708644787340178,25,-0.23000732421875,-1.43883243254266,3.387095196662985,0.0
87,"Lauer, Lalley, Victoria",168,1,yes,no,-0.0464446632527891,A/B,-0.0184639711316201,1.0,0.0,1.658950805664063,6.284845112644165,-4.621039966373513,-4.423442351258791,-0.0492325098472914,1,-1.658950805664063,4.0,,0.0
88,Gordon S. Black Corp.,123,2,yes,no,-0.0418053502782946,A/B,-0.1399591861875582,1.0,0.5,6.357505798339844,5.137398300763543,1.22496183818289,-0.6144861881899994,-0.0135277873981688,2,-6.357505798339844,-1.269841269841269,6.000000000000001,0.0
89,University of Florida,349,1,yes,no,-0.0411360947075567,A/B,0.0373956668765794,0.5,0.0,1.077785491943359,4.854339825419885,-3.771699992869936,-1.405468170236857,-0.0487651948302299,1,1.077785491943359,-0.1470588235294118,1.414285387311663,1.172301971721692
90,University of Cincinnati (Ohio Poll),346,39,no,no,-0.0370594289568832,A/B,-1.306065146884215,0.935897435897436,0.2307692307692308,4.199360969739082,5.688044858653705,-1.483829548308032,-0.8723258548608629,-0.4079996282714262,30,-3.206029510498047,-2.56406304192143,3.426229651161958,0.4379740993217192
91,New England College,228,19,no,no,-0.0339156692478161,A/B,-1.233823913352059,0.7368421052631579,0.1578947368421053,4.186138956170333,5.130762388156788,-0.9397690913798652,-0.7022128287799915,-0.2771430608747104,19,-3.126208455939042,-3.275668947623061,5.506584216856184,0.0
92,Clemson University,54,8,no,no,-0.0327079524429111,A/B,0.0305970901911662,1.0,0.5,10.055743932724,7.745665259712248,2.31493301361834,-4.333011535195882,-0.9821700093118636,2,1.24305534362793,2.166666666666666,15.99796985711743,0.0
93,Ohio State University,236,1,yes,no,-0.028267094412787,A/B,-0.0472408228151871,1.0,0.0,3.677444458007813,4.889618661903905,-1.207319863289503,-0.2675489206245848,-0.0034369604484707,1,-3.677444458007813,-5.8,,0.0
94,Global Strategy Group/National Research (Philadelphia Inquirer),119,4,yes,no,-0.0241629481333874,A/B,-0.2957787846748048,1.0,0.25,2.981807708740234,4.960417918246559,-1.973755868899735,-1.602300614760774,-0.17721193398286,4,-2.674348831176758,0.2030208667119344,2.248334797424331,1.940660405078344
95,Voter/Consumer Research,371,8,yes,no,-0.0205286453863129,A/B,-0.0938706638267403,1.0,0.375,4.966556310653687,5.544527388315651,-0.5731167370553751,-0.9994758721376948,-0.1615045714218247,8,-0.5809214115142822,-2.906479969685212,2.05764765011757,1.372204334348485
96,Saint Anselm College,494,5,no,no,-0.0043478260869565,A/B,0.4983920221743376,1.0,0.2,2.593349456787109,5.025210111007667,-2.427006313613969,-2.983210610041913,-0.6485240456612853,5,2.292603302001953,0.0333333333333332,2.666666666666667,0.9257676034617008
97,Star Tribune (Minnesota Poll),315,14,yes,no,-0.0027021768417726,A/B,0.7866531081869236,0.5714285714285714,0.4285714285714285,5.33117812020438,4.399871006504118,0.936161454306852,0.4676652409284022,0.0882514522723825,12,4.415757815043132,3.103320208554546,4.948527776277877,0.0
98,co/efficient,514,5,no,no,0.0025374719739618,B/C,-0.1458200546642594,0.8,0.0,2.651225280761719,4.891678480928892,-2.235598859560584,-3.390815593488743,-0.7294941728289335,5,-0.6777969360351562,-7.721500015258789,3.0,0.2086763622067728
99,Pew Research Center,253,25,yes,no,0.0050416989092537,B/C,0.7468037257420483,0.5,0.36,4.317460784912109,4.529008709484654,-0.2066935839659541,0.4441390606891732,0.1632249772615992,25,2.032070770263672,1.005657165685872,3.818391934927934,0.0
100,American Viewpoint,10,8,no,no,0.0051543406263754,B/C,-0.7621450628157735,0.6875,0.0,4.16240930557251,5.712293976693308,-1.545030330514208,-2.079017544121555,-0.4454959471628316,8,-3.556739330291748,-3.333993881672352,6.252438154863531,0.0
101,GQR Research (GQRR),126,57,yes,no,0.0080043239378806,B,2.127007880972816,0.543859649122807,0.1228070175438596,4.536231860779879,5.335848746522271,-0.7947625451358039,0.1889929341982939,0.1133013102353454,55,3.593433310768821,3.318148647061287,4.138938620735813,0.1022700367888276
